Serial No.,Name of the Project,Project Activity,Name of the Contact Person,Sector,Address Line.1,Address Line.2,Address Line.3,Telephone,Fax,Email
37,ACE POWER EMBILIPITIYA (PVT) LTD.,100 MW POWER PLANT,K.D.B.EKANAYAKE,Utilities,NO. 305,VAUXHALL STREET.,COLOMBO 02.,2308308 EXT - 9713,2345132,devinda@aitkenspence.lk
38,ACE POWER GENERATION MATARA LTD.,THERMAL POWER PLANT (20MW),DEVAN DE MEL - MANAGING DIRECTOR,Utilities,"NO. 305,  VAUXHALLE ST.",COLOMBO 2.,,011-2308308,011-2345132,shamahil@aitkenspence.lk
39,ACE WIND POWER (PVT) LTD.,3 MW WIND POWER PLANT,K.D.B.EKANAYAKE,Utilities,NO. 315,VAUXHALL ST.,COLOMBO 02,2308308 EXT-9713,2345132,devinda@aitkenspence.lk
40,ADAMJEE DEVELOPMENTS (PVT) LTD., WAREHOUSE,SHERAN  PERERA - FINANCE MANAGER,Services,"NO. 140/5, GRANDPASS RD.",COLOMBO 14.,,2445421,2445426,nayomip@adamjeelukmanjee.com
41,ADDIS VENTURES (PVT) LTD.,"UNDERTAKE OFFSHORE BUSINESS,FRONT-END SER.&HEADQUARTER OPERA",SRIKUMAR BALASUBRAMANIYAM,Services,"A - 6, SEETHAWAKA E.P.Z",AVISSAWELLA,,"036 7888888, 077 7775555","036 2232673, 036 2232600",sri@jayjaymills.lk
42,ADEEM UNIFORM (PVT) LTD.,UNIFORMS,PRADEEP FERNANDO,Apparel,NOORANI INDUSTRIAL ESTATE,WAIKKALA,,768242141,,pradeep@adeemuniform.com
43,ADVANTAGE TECHNOLOGIES (PVT) LTD.,"SOFTWARE,E-COMMERCE & WEB DESIGNING,ERP, E-LOGISTIC MGT.",A.D.DARUWALLA - DIRECTOR,Knowledge Services,"74 A , DHARMAPALA MW.",COLOMBO 07.,,4722136,4722136,ad@advantagetpl.lk
44,AEGIS SERVICES LANKA (PVT) LTD.,DATA PROCESSING & PROVIDE CALL CENTER ACTIVITY,GANESHAN NIRANJAN,Knowledge Services,135,UNION PLACE,,716112530,94 114 810003,niranjanganeshan@gmail.com
45,AERO - SENSE (PVT) LTD.,INSTRUMENTS BASED ON TRANSDUCER TECHNOLOGY,WASANTHA ELLAWALA,Manufacturing,AERO SENSE (PVT) LTD,FLINTH INDUSTRIAL PARK,RANMUTHUGALA ESTATE,114501078,114501078,wellawala@aerosensetech.com
46,AERO DYNAMICS (PVT) LTD.,"PARA GLIDERS, INFLATABLE TENTS, BATTENS, CYCLE COVERS",MR. BERNARD WELDT,Manufacturing,"NO. 222, KIMBULAPITIYA    RD.",ALUTHWATTA,NEGOMBO,0777 881269,315553569,
47,AGIO TOBACCO PROCESSING CO. - EXP1,TOBACCO PROCESSING,H LEEMANS,Agriculture,,,,,,
48,AGIO TOBACCO PROCESSING CO. (PVT) LTD.,TOBACCO PROCESSING,PRIYANTHA WEERASINGHE - CHIEF ACCOUNTANT,Agriculture,AGIO TOBACCO PROCESSING CO. (P) LTD.,E.P.Z.,BIYAGAMA.,"1,124,650,280,714,910,000",112465030,p.weerasinghe@agio.lk
49,AGRA OYA HYDRO (PVT) LTD.,1500KW MINI HYDRO POWER PLANT,J P WIMALARATNE,Utilities,NO. 10,SUMANATISSA MW.,HORANA,077 3523995,2825350,agraoya.hydro@gmail.com
50,AGRI - LEISURE (PVT) LTD.,25 ROOMED HOTEL AT SEETHAWAKA,PRADEEP GUNAWARDANA,Tourism & Leisure,"76/17, SIRINANDAJOHIKARAMA ROAD,","KALALGODA,",PANNIPITIYA,071 8409973,011 2447970,agriorchid@gmail.com
51,AGRISPICE (PVT) LTD.,AGRICULTURAL CROPS,M.J. PERERA - FINANCE MANAGER,Agriculture,NO. 250/3/08 - 9,LIBERTY PLAZA,COLOMBO 03.,2575935-7,2573111,dharshan@colomboland.com
52,AGRO COCO TECH (PVT) LTD.,COCOPEAT FOR EXPORT IN VALUE ADDED FORM,MR. H M A S B HERATH - ACCOUNTANT,Manufacturing,NO. 216,DAMBULLA RD.,KURUNEGALA,0715 351384,037 2230305,amilahm15@yahoo.com
53,AGRO FARM LANKA (PVT) LTD., CULTIVATE FRUITS & VEGETABLES,MR. ROSHAN ABEYSINGHE,Agriculture,"46-1/1, CASTLE STREET",COLOMBO 08,,0777-303443,,roshanabeysinghe2011@gmail.com
54,AGRO HARAPAN LESTARI (PVT) LTD.,REGIONAL OPERATING HEADQUARTERS COMPANY,RUSHDI AZEEZ,Services,"20TH FLOOR ,EAST TOWER",WORLD TRADE CENTER,COLOMBO 01.,4357777,4357788,rushdia@goodhope-lk.com
55,AGROMET ASIA (PVT) LTD.,"NON FERROUS METALS & CHEMICALS,MFG METAL CONTAINERS.",V CHANDRA KANTHI,Manufacturing,"NO. 12, HEPZ",HORANA.,,0342255507/2581496,2581496,chandrakanth@agrometasia.net
56,AGSTAR GRAINS (PVT) LTD,SET UP ARICE MILL,MR RASIKA RANASINGHE - FINANCE MANGER,Agriculture,NO 9 BAWA PLACE,COLOMBO 08,,0773- 596814,"0114-810 706, 0114812424   ",rasika@agstaragri.com
57,AHUNGALLA RESORTS LTD.,501 ROOMED HOTEL IN AHUNGALLA,MR.MANGALA WIJESEKERA,Tourism & Leisure,"NO:315,","VAUXHALL STREET,",COLOMBO-02,011 2308102,011 2446838,mangala-w@aitkenspence.lk
58,AIDA HOTEL (PVT) LTD.,29 ROOMED TOURIST HOTEL,G D SARATH KUMARA - G. ACCOUNTANT,Tourism & Leisure,"NO. 12/A, MANGALA MW.",BENTOTA.,,034-2271137/38,034-2271140,aida1@sltnet.lk
59,AIDA HOTEL (PVT) LTD. - EXP. 1,CONSTRUCTION OF ADDITIONAL 14 ROOMS,L W WEERASENA - DIRECTOR,Tourism & Leisure,AIDA HOTEL (PVT) LTD.,"NO. 12 A, MANGALA MW.",BENTOTA.,034-2271136-39,034-2271140,aida1@sltnet.lk
60,AIRPORT GARDEN LEISURE (PVT) LTD.,100 ROOMED HOTEL,MR.RUCHIRA PERERA,Tourism & Leisure,NO 234 - 236,COLOMBO-NEGOMBO ROAD,SEEDUWA,11 5440000,11 2252953,gateway.colombo@tajhotels.com
61,AITKEN SPENCE APPARELS (PVT) LTD.,GARMENTS (TAKE OVER AUSTRA LANKA GAR.MFG. (PVT) LTD.-KOGGALA,R.P MENAKA,Apparel,"LOT NO 1,"," EPZ,", KOGGALA.,912234083,912242732,rpmenaka@aitkenspence.lk
62,AITKEN SPENCE GARMENTS LTD.,GARMENTS,MR.MENAKA RANPATABEDI,Apparel,NO. 222,AGALAWATTA RD.,MATUGAMA.,034-2248924/078-6508800,034-2247387,ramenaka@aitkenspence.lk
63,AITKEN SPENCE HOTEL MANAGEMENTS ASIA P.L,REGIONAL HEADQUARTERS,MR. DINESH EBENEEZER,Services,AITKEN SPENCE HOTEL MANAGEMENTS ASIA P.L,"NO. 305, VAUXHALL ST.",COLOMBO 02.,2308308,2446838,dineshe@aitkenspence.lk
64,AITKEN SPENCE HOTELS INTERNATIONAL P.L.,REGIONAL OPERATING H/QUARTERS,MR. DINESH EBENEEZER,Services,"315,  VAUXHALL STREET",COLOMBO 02.,,2308308,2446838,dineshe@aitkenspence.lk
65,AITKEN SPENCE HOTELS LTD.,REFURBISHMENT & UPGRADING OF NEPTUNE HOTEL - 64 ROOMS,C M S JAYAWICKRAMA,Tourism & Leisure,AITKEN SPENCE HOTELS LTD.,"NO. 315, VAUXHALL ST.",COLOMBO 02,2308068,2446838,sj@aitkenspence.lk
66,AITKEN SPENCE PROPERTY DEVELOPMENTS P.L.,CONSTRUCT A LUXURY OFFICE COMPLEX,MR. CLEMENT JAYASINGHE,Infrastructure,"NO. 305, VAUXHALL ST.",COLOMBO 02.,,2308308-8073,2308081,clement@aitkenspence.lk
67,AKLO INFORMATION TECHNOLOGIES (PVT) LTD.,DEVELOP SOFTWARE,AHAMED THARICK RAZICK,Knowledge Services,"58, 42ND LANE",COLOMBO 6,,0777 881498,2589597,tharick@debugisp.net
68,AL OBAIDANI APPARELS (PVT) LTD.,GARMENTS FOR EXPORT,DASANTHA MALLIKARACHCHI,Apparel,NO. 199,HORAGOLLA WATTE,NITTAMBUWA,332288564,,dasantha@al-obaidani.com
69,ALCHEMY BOULDERS (PVT) LTD.,SILICA QUARTZ,RIZWAN MOHAMMED IMAMDEEN,Manufacturing,"220,KARALLIYADDA ROAD",DIGANA,DIGANA.,081-2375057,081-2375056,farzana@alchemyquartz.com
70,ALCHEMY BOULDERS (PVT) LTD.-EXP,SILICA QUARTZ,M ZUHUREF RAUF,Manufacturing,NO. 23,TELDENIYA RD.,MADAWALA BAZAR,0777 765076,081 2375056,
71,ALCHEMY HEAVY METALS (PVT) LTD.,"ZIRCON, RUTILE, ILMENITE, MONOSITE",M S S ZHURI,Manufacturing,NO 153 A  KANDALAMA RD,DAMBULLA,,066-2283121,066-2283120,info@miramaminerals.com
72,ALCO INDUSTRIES (PVT) LTD.,INDUSTRIAL TOOLS & COMPONENTS,P N DEDIWELA,Manufacturing,ALCO INDUCTRIES (PVT) LTD,PATTIWILA ROAD,SAPUGASKANDA,777722827,5552604,pramuk@alumexgroup.com
73,ALHAMBRA HOTELS LTD.,EXPANSION & REFURBISHMENT OF HOLIDAY INN HOTEL - 94 ROOMS,G K SUDATH KUMAR,Tourism & Leisure,NO. 142,GALLE RD.,COLOMBO 03,2331903,2454835,aims.ltd@itmin.com
74,ALLIANCE FIVE (PVT) LTD.,"BROOMS,BRUSHES & PLASTIC ACCE.",R.G IRUGALBANDARA,Manufacturing,NO.397 KERAWALAPITIYA HENDALA WATTALA,,WATTALA,712742894,2934275,rohan@alliancelk.com
75,ALLIED PROPERTIES LTD.,OFFICE COMPLEX,CHARITH PERERA,Infrastructure,"NO. 242,","UNION PLACE,",COLOMBO 02.,4313179,,charith.perera@nationstrust.com
76,ALLIED RENEWABLE TECHNOLOGIES LTD.,1.2 MW MINI HYDRO POWER PLANT,W.A.S. NISHADI,Utilities,"105/1, MADUPITIYA RD,","MAHAWILA,",PANADURA,382242207,382234025,finance@naturub.com
77,ALLOY FABRICATORS INTL. (PVT) LTD.,"PIPING SYSTEMS,STEEL BANDS PROCESS EQUIPMENTS",DILINI MUNASINGHE,Manufacturing,NO. 17,SIR JOHN KOTALAWALA MW.,RATMALANA.,2624046 /2622939,2632109,afil@eureka.lk
78,ALMAR MULTI MOULDS (PVT) LTD.,INJECTION MOULDED PLASTIC PRODUCTS,RAJ NANAYAKKARA,Manufacturing,"33, RING RD., PHASE II",E P Z,KATUNAYAKE,077 7390751,011 2252623,raj@sltnet.lk
79,ALMECO (PVT) LTD.,NON FERROUS CASTING,M I M NIZAR,Manufacturing,NO 231,GALLE ROAD,,011 5555310,011 2589207,mohamed.nizar@l-m-j.com
80,ALPEX MARINE (PVT) LTD.,SHRIMP PROCESSING,J.K.MAYAKADUWA,Agriculture,NO. 68,"CANNAL RD., HENDALA",WATTALA.,112934750,112931639,almarine@sltnet.lk
81,ALPEX MARINE (PVT) LTD. - EXP. 1,SHRIMP PROCESSING,M K CHANDRASIRI,Agriculture,"NO. 68, CANAL RD.",HENDALA,WATTALA,"0777-776776, 934750",,
82,ALPEX MARINE N-W (PVT) LTD.,PRAWN CULTURE,J.K.MAYAKADUWA,Agriculture,"NO: 68,CANAL ROAD,","HENDALA,",WATTALA,12934750,112931639,almarine@sltnet.lk
83,ALPHA APPARELS LTD.,GARMENTS ( TAKE OVER CREATIONS (PVT) LTD. - POLGAHAWELA),FELIX A FERNANDO,Apparel,LOT 5-7,E.P.Z.,POLGAHAWELA.,037-4699600,037-4699634,kapila.m@alphaapparels.org
84,ALPINE CLOTHINGS MAGALLEGAMA N-TIYA(P) L,GARMENTS,MOHAMED SALEEM MOHAMED,Apparel,"NO. 61, BALAPOKUNA RD.",KIRULAPONA,COLOMBO 6,0112 815038,112820540,saleemco@sltnet.lk
85,ALPINE CLOTHINGS NIKAWERATIYA (PVT) LTD.,GARMENTS,MOHAMED SALEEM MOHAMED,Apparel,"NO. 61, BALAPOKUNA RD.",KIRULAPONA,COLOMBO 06,0112 815038,0112 820540,saleemco@sltnet.lk
86,ALTERNATE POWER SYSTEMS (PVT) LTD.,6.5 MW MINI HYDRO POWER PROJECT,K G A S T KOSGODA,Utilities,"27/2, EAST TOWER",WORLD TRADE CENTRE,COLOMBO 01.,2381111,2381115,sajithrak@vallibel.com
87,AMANA GLOBAL LTD.,REGIONAL OPERATING HEAD QUARTERS,ANAS AZEEZ,Services,"NO. 06,","GLEN ABER PLACE,",BAMBALAPITIYA,7801000,2556412,anas@amanaholdings.lk
88,AMBEWELA PRODUCTS (PVT) LTD.,BREED CATTLE TO PRODUCE  MILK & MILK ALLIED PRODUCTS,MR. R N ATTYGALLE  - FINANCE MANAGER,Agriculture,LANKA MILK FOODS (CWE) LTD.,WELISARA,RAGAMA.,115222600,112956266,lakspray@lmfgroup.lk
89,AMERICAN & EFIRD LANKA (PVT) LTD.,"TEXTILE MFG. &/OR PROCESSING,SUPPLT D-CORE & COTTON THREAD",NIPUNA WAHALATHANTRI,Apparel,"NO 67, AVISSAWELLA ROAD",WELIVITA,KADUWELA,114726444,114726410,nipunaw@amefird.com.lk
90,AMERICAN & EFIRD LANKA (PVT) LTD.- EXP 1,MFG. OF SEWING THREAD,IRFAN THASSIM - CEO,Apparel,AMERICAN & EFIRD LANKA (PVT) LTD.,"NO. 67, AVISSAWELLA RD.","WELIWITA,  KADUWELA.",4726401,4726490,infanth@brandix.com
91,AMERICAN EDUCATION CENTRE LTD.,EDUCATIONAL SER.WITH INTL.UNIV,P SARAVANAN,Knowledge Services,"308 - 310 , R.A. DE MEL MW.",COLOMBO 03.,,4514415,4510541,saravanan@ancedu.com
92,AMINOVIT (PVT) LTD.,POULTRY FEED PREMIX PLANT,JABARALI MOHAMADU AKBARALI,Manufacturing,NO. 28,MINUWANGODA RD,"EKALA, JA-ELA.",2228541,2228541,aminovitacc@gmail.com
93,AMP CEYLON (PVT) LTD.,ARTIFICIAL FLOWERS,RENUKA FERNANDO,Manufacturing,PHASE II,E.P.Z.,KATUNAYAKE.,011-2251026/28,112251029,dgl.renuka@gmail.com
94,AMSAFE BRIDPORT (PVT) LTD.,"PALLET-NETS , TIE-DOWN STRAPS & CAMOUFLAGE NETS",SHIRAN DAMMAGE,Manufacturing,3RD FLOOR,"NO. 10,  GOTHAMI RD.","BORELLA, COLOMBO 08.",4516888   EX- 5160,4516880,shiran.d@amsafebp.com
95,ANANTAYA PASSEKUDAH (PVT) LTD.,TOURIST RESORT - 150 ROOMS,MR. WASALA BANDARA,Tourism & Leisure,NO.101,MAYA AVENUE,COLOMBO 06,0115566416/0776913491,115577824,wasala.bandara@laugfs.lk
96,ANDARADENIYA MINI HYDRO POWER (PVT) LTD.,800 KW MINI HYDRO POWER PLANT,MR. WETHTHINGE RUPASINGHE,Utilities,ANDARADENIYA MINI HYDRO POWER,"(PVT) LTD., BATUWANGALA TEA FACTORY,","MORAWAKA ROAD, LELWALA, NELUWA.",772293698,091-5630900,gunarathnewg@yahoo.com
97,ANDRY ALUMINIUM INDUSTRY (PVT) LTD.,ALUMINUM FOIL,H D ASANKA SANATH,Manufacturing,NO. 432/7,KADAWATHA ROAD,"WELIPILLEWA, GANEMULLA",714269623,117209762,andryindustry@gmail.com
98,ANI VILLAS DICKWELLA (PVT) LTD.,SET UP A 14 ROOMED & 2 LUXURY VILLAS RESORT AT DICKWELLA,SIMON & ASSOCIATED(MADUSHA - 0776618966),Tourism & Leisure,"40,GALLE FACE COURT 02,","(3RD FLOOR),",COLOMBO 03,112333431,112381907,simonas@simonas.net
99,ANILANA HOTELS AND PROPERTIES  LTD.,HOTEL - 70 ROOMS,A C SENIVIRATNE,Tourism & Leisure,NO. 6/1,INDEPENDENCE AVE.,COLOMBO 03,0777 844444,2370634,asanga@asiacapital.lk
100,ANODS COCOA (PVT) LTD.,COMPOUND CHOCOLATE,MR T S B PEIRIS,Manufacturing,NO. 66,GAMPOLAGEDARA,PUGODA.,"1,155,532,220,773,630,000",,indika@anodscocoa.com
101,ANOMA AGRO-BASED PRODUCTS (PVT) LTD.,"BIO FERTILIZER, NATURAL WEEDICIDES, AGRI. EQUIPMENT",MR. DAYA D K GAMAGE,Manufacturing,"NO. 19/6 A, HOSPITAL TERRACE","OFF SUNANDARAMA RD., KALUBOWILA",DEHIWALA,,,
102,ANORCHI LANKA (PVT) LTD.,10 MW SOLAR POWER PROJECT,SANJEEWA PERERA,Utilities,"NO. 101, MAYA AVENUE",COLOMBO 06,,765530424,115577824,buddhika.mathew@laugfs.lk
103,ANSELL LANKA (PVT) LTD.,SURGICAL/EXAMINATION & INDUSTRIAL GLOVES,M. NAFEES NAWAZ - PLANT  CONTROLLER,Manufacturing,B.E.P.Z,BIYAGAMA. MALWNA,,"1,177,652,050,773,810,000",2465433,nafees.nawaz@ansell.com
104,ANSELL TEXTILES LANKA (PVT) LTD.,KNITTED GLOVES,GRAETIAN GUNAWARDENA-CHAIRMAN,Apparel,,,,593384/6,581281,gg@handsgroup.com
105,ANSELL TEXTILES LANKA (PVT) LTD.,"LINER, HYCRON & GARDEN GLOVES",SANJEEWA KUMARA,Apparel,NO. 32,KAMMALWATTA,SEEWDUWA,2556732,2259465,sanjeewa.kumara@ansell.com
106,ANTE LECO METERING COMPANY (PVT) LTD.,ENERGY METERS,CHAMPANI PADMASEKARA,Manufacturing,"NO. 411,  GALLE RD.",E H COORAY BLDG.,COLOMBO 03,2371609,2574429,champani@leco.lk
107,ANTLER FABRIC PRINTERS (PVT) LTD.,"SCREEN PRINTING FOR GARMENTS,PROVIDE EMBROIDERY SERVICES",RAJITHA PERERA,Apparel,NO. 170,MADAPATHA RD.,PILIYANDALA.,2614981/3,2615847,rajithap@antlergroup.com
108,ANTLER FABRIC PRINTERS (PVT) LTD.-EXP 1,SCREEN PRINTING,MS. IRESHA LOKUGE - FINANCE CONTROLLER,Apparel,ANTLER FABRIC PRINTERS (PVT) LTD.,"NO. 170, MADAPATHA RD.",PILIYANDALA.,2614981-3,2615847,iresha@antlargroup.com
109,ANTLER GENERAL INDUSTRIES (PVT) LTD.,SCREEN PRINTING INK,MS. RAJITHA PERERA - FINANCE CONTROLLER,Manufacturing,"NO. 170, MADAPATHA RD.",PILIYANDALA.,,2614981/3,2615847,rajithap@antlergroup.com
110,ANUDAN HOLDINGS (PVT) LTD,18 ROOMED BOUTIQUE HOTEL,DANIEL FRYDMAN,Tourism & Leisure,DISSAGAWATTE,HIKKADUWA,,077 3411705,,dfrydman34@hotmail.com
111,APOLLO MARINE INTL. (PVT) LTD.,MARINE FOOD,W.A.F.H. FONSEKA - ACCOUNTANT,Agriculture,BLOCK 9C,WATHUPITIWALA,"EPZ., NITTAMBUWA.",033-2282290/91,033-2281784,hemantha@apollo-marine.com
112,APPAREL TECHNOLOGIES (PVT) LTD.,COMPUTER SOFTWARE & EMB. ITEMS,MENAKA  LIYANAGE,Apparel,"NO. 543, GALLE ROAD, MT. LAVINIA",,,112735391,112735390,menaka@thebobbingrop.com
